stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
11838,11838,SNOWDEN RIVER & OAKLAND MILLS wb,,39.178942,-76.828642,,,0,,,0
11839,11839,BROKENLAND & SNOWDEN RIVER nb,,39.178065,-76.847777,,,0,,,0
11840,11840,BROKENLAND & CRADLEROCK S nb,,39.185775,-76.850575,,,0,,,0
11841,11841,BROKENLAND & CRADLEROCK N nb,,39.192021,-76.851423,,,0,,,0
11843,11843,BROKENLAND & HICKORY RDG opp nb,,39.207195,-76.866609,,,0,,,0
11844,11844,COLUMBIA MALL & RING RD wb,,39.212992,-76.863217,,,0,,,0
11845,11845,TWIN RIVERS RD & TRUMPETER RD opp wb,,39.219370,-76.870240,,,0,,,0
11846,11846,TWIN RIVERS & JASON LA wb,,39.221665,-76.876642,,,0,,,0
11847,11847,TWIN RIVERS RD & HARPERS FARM RD wb,,39.219704,-76.879509,,,0,,,0
11850,11850,DOBBIN RD & DOBBIN CTR WAY eb,,39.197328,-76.820392,,,0,,,0
11851,11851,McGRAW RD & STANFORD BLVD opp eb,,39.187639,-76.820188,,,0,,,0
11852,11852,ROB FULTON DR & SOLAR WALK eb,,39.177629,-76.822378,,,0,,,0
11853,11853,ROB FULTON DR & LEE DeFOREST eb,,39.176228,-76.817940,,,0,,,0
11854,11854,ROB FULTON DR & GATEWAY DR eb,,39.175051,-76.810474,,,0,,,0
11855,11855,GATEWAY DR & SAMUEL MORSE DR eb,,39.172253,-76.806805,,,0,,,0
11856,11856,GATEWAY DR & ALBERT EINSTEIN op eb,,39.173745,-76.802576,,,0,,,0
11857,11857,GATEWAY DR & JOHN McADAM nb,,39.181415,-76.799191,,,0,,,0
11858,11858,GATEWAY DR & ELI WHITNEY opp wb,,39.184121,-76.805134,,,0,,,0
11861,11861,GATEWAY DR & ELI WHITNEY DR eb,,39.183891,-76.805952,,,0,,,0
11862,11862,GATEWAY DR & JOHN McADAM opp sb,,39.181497,-76.799458,,,0,,,0
11863,11863,GATEWAY DR & ALBERT EINSTEIN sb,,39.173884,-76.802857,,,0,,,0
11864,11864,GATEWAY DR & SAMUEL MORSE opp wb,,39.172382,-76.806714,,,0,,,0
11865,11865,ROB FULTON & GATEWAY DR fs wb,,39.175329,-76.811105,,,0,,,0
11866,11866,ROB FULTON & LEE DeFOREST opp wb,,39.175922,-76.818080,,,0,,,0
11867,11867,ROB FULTON & SOLAR WALK wb,,39.177502,-76.821628,,,0,,,0
11868,11868,MCGRAW RD & STANFORD BLVD wb,,39.187376,-76.819593,,,0,,,0
11869,11869,DOBBIN RD & DOBBIN CTR opp nb,,39.196995,-76.820539,,,0,,,0
11870,11870,LITTLE PATUXENT PKWY & VANTAGE POINT RD opp wb,,39.224636,-76.856826,,,0,,,0
11871,11871,LITTLE PATUXENT PKWY & GOVERNOR WARFIELD PKWY sb,,39.219216,-76.858972,,,0,,,0
11872,11872,PATUXENT RANGE RD & DORSEY RUN RD eb,,39.145736,-76.792452,,,0,,,0
11873,11873,OCEANO AVE & ASSATEAGUE DR wb,,39.158192,-76.780301,,,0,,,0
11874,11874,ASSATEAGUE DR & CONOWINGO AVE wb,,39.165550,-76.783281,,,0,,,0
11875,11875,ASSATEAGUE DR & WASHINGTON BLVD wb,,39.168678,-76.785991,,,0,,,0
11877,11877,WASHINGTON BLVD & MONTEVIDEO RD nb,,39.174949,-76.777616,,,0,,,0
11878,11878,WASHINGTON BLVD & KIT KAT RD nb,,39.178741,-76.771295,,,0,,,0
11879,11879,WASHINGTON BLVD & DORSEY RD nb,,39.183644,-76.764011,,,0,,,0
11880,11880,WASHINGTON BLVD & AMBERTON DR nb,,39.190941,-76.753315,,,0,,,0
11881,11881,WASHINGTON BLVD & TROY HILL DR nb,,39.194749,-76.746527,,,0,,,0
11882,11882,WASHINGTON BLVD & HUNT CLUB RD opp nb,,39.200154,-76.736820,,,0,,,0
11883,11883,WASHINGTON BLVD & MONTGOMERY RD nb,,39.207090,-76.727008,,,0,,,0
11884,11884,WASHINGTON BLVD & LEVERING AVE nb,,39.216622,-76.709855,,,0,,,0
11886,11886,LITTLE PATUXENT & HARPER'S FARM wb,,39.216604,-76.881273,,,0,,,0
